Package Name,Package Type,Duration,Ratings,Discount,New Prices,Old Prices,Cities,1D Cities,2D Cities,3D Cities,Days,Nights,Discount_num,Ratings_num
Exclusive Kerala Munnar Tour Packages for an Amazing Vacation,Customizable,3 Days & 2 Nights,3 Star,39% Off,7840,12792.0,Munnar (3D),,,Munnar,3,2,39.0,3
Exciting Athirapally Tour Package,Customizable,7 Days & 6 Nights,3 Star,9% Off,25080,27560.0,Cochin (1D)Munnar (2D)Thekkady (1D)Alleppey (3D),"Cochin, Thekkady",Munnar,Alleppey,7,6,9.0,3
Ecstatic Athirapally Honeymoon Package ,Customizable,7 Days & 6 Nights,3 Star,11% Off,29567,33221.0,Cochin (2D)Munnar (2D)Thekkady (1D)Alleppey (2D),Thekkady,"Cochin, Munnar, Alleppey",,7,6,11.0,3
Spellbinding Cochin Family Tour Package,Customizable,2 Days & 1 Nights,4 Star,12% Off,4480,5091.0,Cochin (2D),,Cochin,,2,1,12.0,4
Blissful Kerala Honeymoon Tour Package,Customizable,7 Days & 6 Nights,5 Star,16% Off,23999,28416.0,Munnar (2D)Thekkady (1D)Alleppey (1D)Kovalam (3D),"Thekkady, Alleppey",Munnar,Kovalam,7,6,16.0,5
Best Selling 2 Days Alleppey Honeymoon Packages For A Romantic Getaway!,Customizable,2 Days & 1 Nights,3 Star,9% Off,4799,5274.0,Alleppey (2D),,Alleppey,,2,1,9.0,3
An Intimate Rendezvous in Athirapally,Customizable,8 Days & 7 Nights,4 Star,10% Off,27600,30667.0,Vaikom (1D)Alleppey (1D)Thekkady (2D)Athirapally (1D)Cherai (3D),"Vaikom, Alleppey, Athirapally",Thekkady,Cherai,8,7,10.0,4
Delightful Athirapally Tour Packages,Customizable,2 Days & 1 Nights,5 Star,9% Off,4799,5274.0,Athirapally (2D),,Athirapally,,2,1,9.0,5
Best Budgeted Munnar Alleppey Tour Packages For A Fun Trip,Customizable,3 Days & 2 Nights,3 Star,11% Off,8400,9438.0,Munnar (1D)Alleppey (2D),Munnar,Alleppey,,3,2,11.0,3
Scenic Kerala Family Trip,Customizable,9 Days & 8 Nights,4 Star,13% Off,33228,38212.0,Kochi (1D)Munnar (2D)Thekkady (1D)Alleppey (1D)Kumarakom (1D)Kovalam (1D)Kanyakumari (1D)Trivandrum (1D),"Kochi, Thekkady, Alleppey, Kumarakom, Kovalam, Kanyakumari, Trivandrum",Munnar,,9,8,13.0,4
Economical Wayanad Tour Packages For 2 Nights 3 Days,Customizable,3 Days & 2 Nights,5 Star,7% Off,8399,9031.0,Calicut (1D)Wayanad (2D),Calicut,Wayanad,,3,2,7.0,5
Book Our Alleppey Houseboat Tour Package For A Romantic Getaway,Customizable,2 Days & 1 Nights,3 Star,9% Off,7387,8118.0,Alleppey (2D),,Alleppey,,2,1,9.0,3
Madurai And Rameshwaram Await Your Exploration,Customizable,6 Days & 5 Nights,3 Star,12% Off,25920,29455.0,Madurai (2D)Rameshwaram (1D)Kanyakumari (1D)Kovalam (2D),"Rameshwaram, Kanyakumari","Madurai, Kovalam",,6,5,12.0,3
Plan A Replenishing 2N 3D Alleppey Kerala Tour For A Paradiscal Holiday,Customizable,3 Days & 2 Nights,4 Star,10% Off,10078,11198.0,Alleppey (3D),,,Alleppey,3,2,10.0,4
Spectacular Cochin Tour Package,Customizable,2 Days & 1 Nights,5 Star,12% Off,3973,4515.0,Cochin (2D),,Cochin,,2,1,12.0,5
Kerala Honeymoon Package With Ayurvedic Massage,Customizable,8 Days & 7 Nights,3 Star,7% Off,57506,61841.0,Kochi (1D)Munnar (2D)Thekkady (1D)Alleppey (1D)Kovalam (3D),"Kochi, Thekkady, Alleppey",Munnar,Kovalam,8,7,7.0,3
Charismatic Kerala Family Holiday Package,Customizable,8 Days & 7 Nights,3 Star,5% Off,25798,27156.0,Kochi (1D)Munnar (2D)Thekkady (1D)Alleppey (1D)Kovalam (3D),"Kochi, Thekkady, Alleppey",Munnar,Kovalam,8,7,5.0,3
Kerala Honeymoon Package For 2 Nights 3 Days,Customizable,3 Days & 2 Nights,4 Star,7% Off,8399,9031.0,Munnar (3D),,,Munnar,3,2,7.0,4
South India Honeymoon Package For 2 Nights 3 Days,Customizable,3 Days & 2 Nights,5 Star,8% Off,16103,17503.0,Munnar (1D)Alleppey (2D),Munnar,Alleppey,,3,2,8.0,5
A Lovely Honeymoon In Munnar,Customizable,4 Days & 3 Nights,3 Star,9% Off,13436,14765.0,Munnar (3D)Cochin (1D),Cochin,,Munnar,4,3,9.0,3
Striking Thekkady Kochi Munnar Honeymoon Package,Customizable,4 Days & 3 Nights,4 Star,8% Off,15120,16435.0,Munnar (1D)Thekkady (1D)Cochin (2D),"Munnar, Thekkady",Cochin,,4,3,8.0,4
An Enjoyable Kochi Family Package,Customizable,4 Days & 3 Nights,5 Star,9% Off,15599,17142.0,Cochin (1D)Munnar (3D),Cochin,,Munnar,4,3,9.0,5
Captivating Kerala Honeymoon Package,Customizable,4 Days & 3 Nights,3 Star,9% Off,15599,17142.0,Munnar (2D)Alleppey (2D),,"Munnar, Alleppey",,4,3,9.0,3
Kerala Houseboat Trip Package For 4 Nights 5 Days,Customizable,5 Days & 4 Nights,4 Star,15% Off,20400,23946.0,Munnar (2D)Thekkady (1D)Alleppey (2D),Thekkady,"Munnar, Alleppey",,5,4,15.0,4
An Invigorating Madurai Sightseeing Tour Package,Customizable,6 Days & 5 Nights,5 Star,9% Off,19834,21796.0,Madurai (3D)Rameshwaram (1D)Kanyakumari (1D)Kovalam (1D),"Rameshwaram, Kanyakumari, Kovalam",,Madurai,6,5,9.0,5
Kochi Family Trip: Incredible Fun,Customizable,2 Days & 1 Nights,3 Star,9% Off,7038,7734.0,Cochin (2D),,Cochin,,2,1,9.0,3
Kerala Honeymoon Tour Package With Houseboat Stay,Customizable,6 Days & 5 Nights,3 Star,14% Off,29760,34720.0,Munnar (2D)Thekkady (1D)Kumarakom (1D)Kochi (2D),"Thekkady, Kumarakom","Munnar, Kochi",,6,5,14.0,3
Astonishing Alleppey Family Tour Package,Customizable,2 Days & 1 Nights,3 Star,9% Off,7003,7696.0,Alleppey (2D),,Alleppey,,2,1,9.0,3
Captivating Kovalam Honeymoon Package ,Customizable,3 Days & 2 Nights,4 Star,12% Off,11640,13227.0,Kovalam (3D),,,Kovalam,3,2,12.0,4
Nostalgic Kochi Honeymoon Tour,Customizable,5 Days & 4 Nights,5 Star,9% Off,14076,15468.0,Cochin (1D)Munnar (2D)Guruvayur (2D),Cochin,"Munnar, Guruvayur",,5,4,9.0,5
Weekend In Kerala-Vythiri With Tree House Stay,Customizable,4 Days & 3 Nights,3 Star,5% Off,20154,21215.0,Wayanad (4D),,,,4,3,5.0,3
Amazing Alleppey Houseboat Tour Package,Customizable,2 Days & 1 Nights,4 Star,10% Off,7390,8211.0,Alleppey (2D),,Alleppey,,2,1,10.0,4
Alluring Alleppey Tour Package,Customizable,3 Days & 2 Nights,5 Star,9% Off,9804,10774.0,Alleppey (3D),,,Alleppey,3,2,9.0,5
Heavenly Kumarakom Alleppey Tour Package,Customizable,3 Days & 2 Nights,3 Star,11% Off,10076,11321.0,Kumarakom (1D)Alleppey (1D)Kochi (1D),"Kumarakom, Alleppey, Kochi",,,3,2,11.0,3
A Pleasant Tour In Munnar,Customizable,3 Days & 2 Nights,3 Star,9% Off,10231,11243.0,Munnar (3D),,,Munnar,3,2,9.0,3
A Tour Amid Nature In Kodaikanal,Customizable,7 Days & 6 Nights,3 Star,9% Off,27006,29677.0,Coorg (2D)Ooty (2D)Kodaikanal (3D),,"Coorg, Ooty",Kodaikanal,7,6,9.0,3
Idyllic Kerala Houseboat & Hills Family Package ,Customizable,7 Days & 6 Nights,3 Star,16% Off,25460,30249.0,Munnar (2D)Thekkady (1D)Alleppey (1D)Kovalam (3D),"Thekkady, Alleppey",Munnar,Kovalam,7,6,16.0,3
Delightful Athirapally Honeymoon Package,Customizable,2 Days & 1 Nights,4 Star,9% Off,6695,7357.0,Athirapally (2D),,Athirapally,,2,1,9.0,4
Enriching Kochi Munnar Family Tour Package,Customizable,4 Days & 3 Nights,5 Star,10% Off,12899,14332.0,Cochin (1D)Munnar (3D),Cochin,,Munnar,4,3,10.0,5
Kerala Weekend Special: Kumarakom Backwaters & Munnar Hills,Customizable,4 Days & 3 Nights,3 Star,1% Off,12092,12214.0,Munnar (2D)Kumarakom (2D),,"Munnar, Kumarakom",,4,3,1.0,3
Kerala is a Land of Wonders,Customizable,7 Days & 6 Nights,4 Star,13% Off,20000,22988.0,Kochi (1D)Munnar (2D)Thekkady (1D)Kovalam (3D),"Kochi, Thekkady",Munnar,Kovalam,7,6,13.0,4
Exciting Kanyakumari-Kovalam Family Tour Package ,Customizable,4 Days & 3 Nights,5 Star,12% Off,11500,13068.0,Kovalam (2D)Kanyakumari (2D),,"Kovalam, Kanyakumari",,4,3,12.0,5
Munnar Tour Packages for 2 Nights 3 Days,Customizable,3 Days & 2 Nights,3 Star,7% Off,6999,7526.0,Munnar (3D),,,Munnar,3,2,7.0,3
Delightful Munnar Thekkady Kerala Family Package,Customizable,6 Days & 5 Nights,3 Star,11% Off,18500,20787.0,Munnar (2D)Thekkady (1D)Alleppey (3D),Thekkady,Munnar,Alleppey,6,5,11.0,3
Thrilling Nehru Trophy Boat Race Package,Customizable,3 Days & 2 Nights,4 Star,20% Off,7200,9000.0,Alleppey (3D),,,Alleppey,3,2,20.0,4
Alleppey Tour Package For 1 Night 2 Days,Customizable,2 Days & 1 Nights,5 Star,8% Off,6930,7533.0,Alleppey (2D),,Alleppey,,2,1,8.0,5
A Voyage into Serenity: Kerala Tour,Customizable,6 Days & 5 Nights,3 Star,7% Off,18127,19491.0,Munnar (2D)Thekkady (1D)Alleppey (1D)Cochin (2D),"Thekkady, Alleppey","Munnar, Cochin",,6,5,7.0,3
Joyous Kerala Tour Package For Family ,Customizable,6 Days & 5 Nights,4 Star,12% Off,15116,17177.0,Munnar (2D)Alleppey (1D)Kovalam (3D),Alleppey,Munnar,Kovalam,6,5,12.0,4
Wonderful Kerala Family Package,Customizable,4 Days & 3 Nights,5 Star,9% Off,11159,12263.0,Munnar (2D)Alleppey (2D),,"Munnar, Alleppey",,4,3,9.0,5
Picture Perfect Family Trip of Kerala,Customizable,7 Days & 6 Nights,3 Star,9% Off,20000,21978.0,Cochin (1D)Munnar (2D)Thekkady (1D)Alleppey (3D),"Cochin, Thekkady",Munnar,Alleppey,7,6,9.0,3
Kumarakom Houseboat Package,Customizable,5 Days & 4 Nights,4 Star,8% Off,15809,17184.0,Kovalam (2D)Kumarakom (3D),,Kovalam,Kumarakom,5,4,8.0,4
Paradisiacal Honeymoon Escape To Kerala,Customizable,5 Days & 4 Nights,5 Star,9% Off,17000,18681.0,Munnar (2D)Thekkady (1D)Alleppey (2D),Thekkady,"Munnar, Alleppey",,5,4,9.0,5
Munnar Local Tour Package,Customizable,3 Days & 2 Nights,3 Star,6% Off,6999,7446.0,Munnar (3D),,,Munnar,3,2,6.0,3
Fully Explore Godâs Own Country,Customizable,6 Days & 5 Nights,4 Star,9% Off,17780,19538.0,Munnar (2D)Thekkady (1D)Alleppey (1D)Kovalam (2D),"Thekkady, Alleppey","Munnar, Kovalam",,6,5,9.0,4
Super-fun Family Holiday in Kovalam Kerala,Customizable,5 Days & 4 Nights,5 Star,10% Off,13485,14983.0,Cochin (1D)Kumarakom (1D)Kovalam (3D),"Cochin, Kumarakom",,Kovalam,5,4,10.0,5
An Enjoyable Munnar Family Trip,Customizable,3 Days & 2 Nights,3 Star,9% Off,7998,8789.0,Munnar (3D),,,Munnar,3,2,9.0,3
Captivating Munnar Kovalam Family Tour ,Customizable,5 Days & 4 Nights,4 Star,12% Off,11196,12723.0,Munnar (2D)Kovalam (3D),,Munnar,Kovalam,5,4,12.0,4
Kovalam and Kumarakom Houseboat Tour Package,Customizable,5 Days & 4 Nights,5 Star,9% Off,13484,14818.0,Kovalam (2D)Kumarakom (3D),,Kovalam,Kumarakom,5,4,9.0,5
Romantic Athirapally Honeymoon Package With Houseboat,Customizable,8 Days & 7 Nights,3 Star,10% Off,25110,27900.0,Athirapally (2D)Munnar (2D)Alleppey (1D)Kovalam (3D),Alleppey,"Athirapally, Munnar",Kovalam,8,7,10.0,3
Marvelous Munnar Family Package,Customizable,3 Days & 2 Nights,4 Star,9% Off,7998,8789.0,Munnar (3D),,,Munnar,3,2,9.0,4
Marvelous Honeymoon Voyage to Munnar,Customizable,4 Days & 3 Nights,5 Star,9% Off,12836,14106.0,Munnar (2D)Alleppey (2D),,"Munnar, Alleppey",,4,3,9.0,5
Scintillating Kanyakumari-Kovalam Honeymoon Tour Package,Customizable,4 Days & 3 Nights,3 Star,10% Off,9797,10885.0,Kovalam (2D)Kanyakumari (2D),,"Kovalam, Kanyakumari",,4,3,10.0,3
Kerala Tour Package For 6 Nights 7 Days,Customizable,7 Days & 6 Nights,3 Star,6% Off,19728,20987.0,Munnar (2D)Thekkady (1D)Alleppey (1D)Kovalam (3D),"Thekkady, Alleppey",Munnar,Kovalam,7,6,6.0,3
Dazzling Kerala Trip Packages From Bangalore,Customizable,4 Days & 3 Nights,3 Star,9% Off,10800,11868.0,Munnar (2D)Alleppey (2D),,"Munnar, Alleppey",,4,3,9.0,3
Enjoying the Vibes at Alleppey,Customizable,3 Days & 2 Nights,3 Star,9% Off,15172,16673.0,Alleppey (3D),,,Alleppey,3,2,9.0,3
"Joyous Munnar, Kovalam Tour Package",Customizable,6 Days & 5 Nights,4 Star,12% Off,14880,16909.0,Munnar (2D)Thekkady (1D)Kovalam (3D),Thekkady,Munnar,Kovalam,6,5,12.0,4
Charismatic Kerala Trip Package From Mumbai,Customizable,5 Days & 4 Nights,5 Star,9% Off,13642,14991.0,Munnar (2D)Thekkady (1D)Alleppey (2D),Thekkady,"Munnar, Alleppey",,5,4,9.0,5
Stunning Kerala Trip Packages From Chennai,Customizable,4 Days & 3 Nights,3 Star,9% Off,10800,11868.0,Munnar (2D)Alleppey (2D),,"Munnar, Alleppey",,4,3,9.0,3
Appealing Thekkady Kochi Munnar Honeymoon Package,Customizable,5 Days & 4 Nights,3 Star,9% Off,16300,17912.0,Munnar (2D)Thekkady (1D)Cochin (1D)Kochi (1D),"Thekkady, Cochin, Kochi",Munnar,,5,4,9.0,3
"Magical Kerala Honeymoon: Cruise, Safari & Hills ",Customizable,6 Days & 5 Nights,3 Star,17% Off,19592,23646.0,Munnar (2D)Thekkady (1D)Kumarakom (1D)Kochi (2D),"Thekkady, Kumarakom","Munnar, Kochi",,6,5,17.0,3
"Astonishing Munnar, Kovalam Honeymoon Package With Thekkady ",Customizable,6 Days & 5 Nights,3 Star,10% Off,14836,16484.0,Munnar (2D)Thekkady (1D)Kovalam (3D),Thekkady,Munnar,Kovalam,6,5,10.0,3
Kerala Tour Package For 8 Nights 9 Days,Customizable,9 Days & 8 Nights,3 Star,7% Off,23992,25798.0,Kochi (1D)Munnar (3D)Thekkady (1D)Alleppey (1D)Kovalam (3D),"Kochi, Thekkady, Alleppey",,"Munnar, Kovalam",9,8,7.0,3
Charismatic Kerala Family Tour ,Customizable,5 Days & 4 Nights,3 Star,9% Off,13019,14307.0,Munnar (2D)Thekkady (1D)Alleppey (2D),Thekkady,"Munnar, Alleppey",,5,4,9.0,3
Appealing Munnar Thekkady Kovalam Honeymoon Package,Customizable,7 Days & 6 Nights,4 Star,10% Off,18599,20666.0,Cochin (1D)Munnar (2D)Thekkady (1D)Kovalam (3D),"Cochin, Thekkady",Munnar,Kovalam,7,6,10.0,4
Heavenly Munnar Thekkady Alleppey Honeymoon Package,Customizable,6 Days & 5 Nights,5 Star,12% Off,14880,16909.0,Munnar (2D)Thekkady (1D)Alleppey (3D),Thekkady,Munnar,Alleppey,6,5,12.0,5
Kochi City Tour Package,Customizable,2 Days & 1 Nights,3 Star,8% Off,3324,3613.0,Kochi (2D),,Kochi,,2,1,8.0,3
Memorable Family Trip To Cochin,Customizable,9 Days & 8 Nights,3 Star,9% Off,27123,29805.0,Cochin (1D)Munnar (2D)Thekkady (1D)Alleppey (1D)Kumarakom (1D)Kovalam (1D)Kanyakumari (2D),"Cochin, Thekkady, Alleppey, Kumarakom, Kovalam","Munnar, Kanyakumari",,9,8,9.0,3
Beatific Kerala Tour Package ,Customizable,7 Days & 6 Nights,4 Star,10% Off,17670,19633.0,Cochin (1D)Munnar (2D)Thekkady (1D)Kumarakom (3D),"Cochin, Thekkady",Munnar,Kumarakom,7,6,10.0,4
Best Selling Kabini Sightseeing Tour For A Refreshing Vacay,Customizable,3 Days & 2 Nights,5 Star,7% Off,11765,12650.0,Kabini (3D),,,Kabini,3,2,7.0,5
Fanciful Getaway To Astounding Alleppey,Customizable,3 Days & 2 Nights,3 Star,9% Off,15172,16673.0,Alleppey (3D),,,Alleppey,3,2,9.0,3
An Idyllic Honeymoon In Cochin,Customizable,7 Days & 6 Nights,3 Star,9% Off,25593,28124.0,Kochi (2D)Munnar (2D)Thekkady (1D)Kumarakom (1D)Alleppey (1D),"Thekkady, Kumarakom, Alleppey","Kochi, Munnar",,7,6,9.0,3
Pleasing Family Kerala Holiday Tour,Customizable,5 Days & 4 Nights,4 Star,10% Off,13435,14928.0,Kovalam (3D)Kumarakom (2D),,Kumarakom,Kovalam,5,4,10.0,4
Kerala Tour Package For 7 Nights 8 Days,Customizable,8 Days & 7 Nights,5 Star,7% Off,21860,23505.0,Kochi (1D)Munnar (2D)Thekkady (1D)Alleppey (1D)Kovalam (3D),"Kochi, Thekkady, Alleppey",Munnar,Kovalam,8,7,7.0,5
Serene And Romantic Getaway To Alleppey,Customizable,2 Days & 1 Nights,3 Star,9% Off,11671,12825.0,Alleppey (2D),,Alleppey,,2,1,9.0,3
Extravagant Family Holiday in Munnar Alleppey Kerala,Customizable,7 Days & 6 Nights,4 Star,11% Off,17634,19814.0,Kochi (1D)Munnar (2D)Alleppey (1D)Kovalam (3D),"Kochi, Alleppey",Munnar,Kovalam,7,6,11.0,4
Exciting Kerala Munnar Packages From Hyderabad ,Customizable,3 Days & 2 Nights,5 Star,9% Off,8530,9374.0,Munnar (3D),,,Munnar,3,2,9.0,5
Alluring Munnar Tour Package,Customizable,4 Days & 3 Nights,3 Star,9% Off,11197,12304.0,Athirappilly (1D)Munnar (3D),Athirappilly,,Munnar,4,3,9.0,3
"Soothing Kumarakom, Munnar, Alleppey Honeymoon Package ",Customizable,7 Days & 6 Nights,3 Star,12% Off,22900,26023.0,Kochi (1D)Munnar (2D)Thekkady (1D)Kumarakom (1D)Alleppey (2D),"Kochi, Thekkady, Kumarakom","Munnar, Alleppey",,7,6,12.0,3
Blissful Kerala Couple Tour Package From Bangalore,Customizable,4 Days & 3 Nights,4 Star,9% Off,12504,13741.0,Munnar (2D)Alleppey (2D),,"Munnar, Alleppey",,4,3,9.0,4
Kerala 3 Days Packages,Customizable,3 Days & 2 Nights,5 Star,7% Off,6975,7500.0,Munnar (3D),,,Munnar,3,2,7.0,5
Kerala Houseboat Tour Package For 4 Nights 5 Days,Customizable,5 Days & 4 Nights,3 Star,8% Off,12825,13902.0,Munnar (2D)Thekkady (1D)Alleppey (2D),Thekkady,"Munnar, Alleppey",,5,4,8.0,3
Calming Kumarakom Houseboat Tour Package,Customizable,3 Days & 2 Nights,3 Star,9% Off,6974,7664.0,Alleppey (3D),,,Alleppey,3,2,9.0,3
Splendid Kumarakom Sightseeing Tour Package,Customizable,5 Days & 4 Nights,3 Star,9% Off,13863,15234.0,Kovalam (2D)Kumarakom (3D),,Kovalam,Kumarakom,5,4,9.0,3
Captivating Munnar Family Package ,Customizable,3 Days & 2 Nights,4 Star,9% Off,8170,8978.0,Cochin (1D)Munnar (2D),Cochin,Munnar,,3,2,9.0,4
Wonderful Kerala Family Tour Package,Customizable,5 Days & 4 Nights,5 Star,19% Off,17691,21837.0,Munnar (2D)Thekkady (1D)Alleppey (1D)Kochi (1D),"Thekkady, Alleppey, Kochi",Munnar,,5,4,19.0,5
South India Tour Package For 3 Nights 4 Days,Customizable,4 Days & 3 Nights,3 Star,7% Off,17446,18759.0,Munnar (2D)Alleppey (2D),,"Munnar, Alleppey",,4,3,7.0,3
Alluring Kerala Honeymoon Package,Customizable,4 Days & 3 Nights,3 Star,9% Off,27587,30315.0,Cochin (1D)Munnar (1D)Alleppey (2D),"Cochin, Munnar",Alleppey,,4,3,9.0,3
Get Amazed By The Enchanting Beauty Of Munnar,Customizable,3 Days & 2 Nights,4 Star,9% Off,8753,9619.0,Cochin (1D)Munnar (2D),Cochin,Munnar,,3,2,9.0,4
"Marvelous Munnar, Alleppey, Kochi Honeymoon Package ",Customizable,5 Days & 4 Nights,5 Star,12% Off,10750,12216.0,Munnar (2D)Alleppey (1D)Kochi (2D),Alleppey,"Munnar, Kochi",,5,4,12.0,5
A Romantic Honeymoon In Scenic Munnar,Customizable,4 Days & 3 Nights,3 Star,9% Off,12999,14285.0,Munnar (3D)Cochin (1D),Cochin,,Munnar,4,3,9.0,3
An Incredible Kochi Trip,Customizable,7 Days & 6 Nights,4 Star,9% Off,19195,21093.0,Cochin (1D)Munnar (2D)Thekkady (1D)Alleppey (3D),"Cochin, Thekkady",Munnar,Alleppey,7,6,9.0,4
South India Tour Package For 6 Nights 7 Days,Customizable,7 Days & 6 Nights,5 Star,7% Off,18000,19355.0,Munnar (2D)Thekkady (1D)Alleppey (1D)Kovalam (2D)Thiruvananthapuram (1D),"Thekkady, Alleppey, Thiruvananthapuram","Munnar, Kovalam",,7,6,7.0,5
Rejuvenating Kerala Tour Package From Ahmedabad,Customizable,5 Days & 4 Nights,3 Star,9% Off,13642,14991.0,Munnar (2D)Thekkady (1D)Alleppey (2D),Thekkady,"Munnar, Alleppey",,5,4,9.0,3
An Idyllic Kochi Honeymoon Tour,Customizable,6 Days & 5 Nights,4 Star,9% Off,16528,18163.0,Munnar (2D)Thekkady (1D)Kumarakom (1D)Kochi (2D),"Thekkady, Kumarakom","Munnar, Kochi",,6,5,9.0,4
Ravishing Kerala Tour Package For Family,Customizable,5 Days & 4 Nights,5 Star,10% Off,13485,14983.0,Munnar (2D)Alleppey (1D)Cochin (1D)Kochi (1D),"Alleppey, Cochin, Kochi",Munnar,,5,4,10.0,5
Kerala Honeymoon Package for 6 Nights 7 Days,Customizable,7 Days & 6 Nights,3 Star,8% Off,20000,21739.0,Munnar (2D)Thekkady (1D)Alleppey (1D)Kovalam (3D),"Thekkady, Alleppey",Munnar,Kovalam,7,6,8.0,3
Enamoring Alleppey-Kovalam Family Package,Customizable,4 Days & 3 Nights,4 Star,8% Off,10077,10953.0,Alleppey (1D)Kovalam (3D),Alleppey,,Kovalam,4,3,8.0,4
Exotic Munnar Alleppey Kovalam Honeymoon Package,Customizable,7 Days & 6 Nights,5 Star,7% Off,25500,27419.0,Cochin (1D)Munnar (2D)Alleppey (1D)Kovalam (3D),"Cochin, Alleppey",Munnar,Kovalam,7,6,7.0,5
Alleppey Houseboat Honeymoon Package,Customizable,2 Days & 1 Nights,3 Star,8% Off,6975,7581.0,Alleppey (2D),,Alleppey,,2,1,8.0,3
A Fantastic Tour Amid Nature In Munnar,Customizable,4 Days & 3 Nights,3 Star,9% Off,11197,12304.0,Munnar (4D),,,,4,3,9.0,3
Blissful Munnar Thekkady Alleppey Honeymoon Package,Customizable,6 Days & 5 Nights,4 Star,12% Off,18400,20909.0,Munnar (2D)Thekkady (1D)Kumarakom (1D)Alleppey (2D),"Thekkady, Kumarakom","Munnar, Alleppey",,6,5,12.0,4
